cultivo,region,provincia,departamento,campania,latitud,longitud,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kg_ha,temp_media_c,temp_max_promedio_c,temp_min_promedio_c,precipitacion_total_mm,humedad_relativa_promedio,radiacion_solar_total,dias_helada,dias_clima_disponibles,dias_clima_esperados,arcilla_pct,arena_pct,limo_pct,materia_organica_pct,ph,cec,suelo_anillo_fallback,suelo_capas_disponibles,suelo_calidad
maiz,pampeana,Córdoba,Marcos Juárez,2021/2022,-32.7,-62.1,246300,223400,2234000,10000,22.548351648351645,28.30824175824176,17.02417582417582,613.7,60.9010989010989,4454.060000000001,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2022/2023,-32.7,-62.1,218600,184000,1177600,6400,24.41813186813187,30.43186813186813,18.38186813186813,404.9,52.21428571428572,4450.620000000001,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2023/2024,-32.7,-62.1,238500,223550,2280210,10200,22.669398907103822,28.0792349726776,17.516393442622952,610.8,66.46448087431693,4209.83,0,183,183,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2024/2025,-32.7,-62.1,214500,203800,2017620,9900,22.791758241758245,28.167032967032966,17.684615384615388,677.4,67.56593406593407,4333.34,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2000/2001,-32.7,-62.1,179300,178800,450000,2517,14.464754098360654,19.108196721311472,10.367622950819673,884.0999999999999,73.54098360655738,3296.97,2,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2001/2002,-32.7,-62.1,197500,197400,450000,2280,15.1672131147541,19.641393442622952,11.228688524590163,691.2,74.70901639344262,3215.08,2,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2002/2003,-32.7,-62.1,106500,104500,241400,2310,15.338934426229509,20.311475409836067,11.005737704918031,662.1999999999999,72.9672131147541,3518.69,3,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2003/2004,-32.7,-62.1,108300,108300,344390,3180,15.478688524590169,20.57172131147541,10.85983606557377,374.6,67.39754098360656,3736.82,0,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2004/2005,-32.7,-62.1,119100,118900,374540,3150,15.277868852459015,20.281967213114758,10.835655737704917,509.7,68.06557377049181,3587.7,0,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2005/2006,-32.7,-62.1,118250,115100,339550,2950,15.31516393442623,20.40860655737705,10.668852459016392,323.40000000000003,67.9139344262295,3684.22,0,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2006/2007,-32.7,-62.1,163000,161500,436050,2700,16.03073770491803,21.316393442622957,11.192622950819672,409.2,64.69672131147541,3779.87,1,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2007/2008,-32.7,-62.1,159800,158400,649440,4100,14.291803278688525,19.55532786885245,9.58032786885246,379.3,67.9672131147541,3704.58,7,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2008/2009,-32.7,-62.1,90200,82900,124350,1500,16.317622950819672,21.913524590163934,11.182377049180328,255.3,59.34836065573771,3934.33,1,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2009/2010,-32.7,-62.1,26150,23180,61720,2663,16.018032786885243,21.75983606557377,10.90327868852459,360.8,60.25,3917.44,4,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2010/2011,-32.7,-62.1,58400,55300,303040,5480,14.68155737704918,19.979098360655737,9.879918032786884,326.4,65.09836065573771,3742.900000000001,5,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
trigo,pampeana,Córdoba,Marcos Juárez,2011/2012,-32.7,-62.1,55340,52140,224200,4300,15.228688524590163,20.520901639344263,10.421311475409835,374.4,65.84426229508196,3774.93,8,244,244,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
